Tweet,True danger tweet?,True non-danger tweet?
Communication skills for parents of little kids -> http://ow.ly/4LH5D (by @60secondparent) #parenting,,1
"Horrendous, sick, and disturbing video game -> School Shooter: North American Tour 2012 http://ow.ly/4FC9p #parenting #safety",,1
RT @consumerreports Consumer Reports warns about Britax B-Nimble stroller http://bit.ly/h8GTj4,,
RT @parenting: CPSC warns of rise in button battery-related injuries & deaths: http://bit.ly/g8HMBt,1,
Eight Tips to Cultivate a “Can Do” Attitude in Kids -> http://ow.ly/4qMYA (via @micheleborba),,1
RT @thekidsdoctor: Recall Alert: Pampers pacifer & bed side sleeper. More info. http://tinyurl.com/3tbp3m5,1,
Can't get to a tax office before the deadline? File your return online w/ #HRBlock's At Home tools! http://spn.tw/t12CBe #sponsor,,1
RT @micheleborba: #Parenting alert: Predators new grooming process: How to protect your kids http://ow.ly/4mMDp,1,
RT @DailyFitnessTip Who's hungry? Best Restaurant Lunches -> http://ow.ly/4rf54 (via @Cooking_Light),,1
#parenting RT @safetymom Button battery related injuries and deaths increasing dramatically...what you need to know. http://1.usa.gov/dSxpr0,1,
RT @PaloAltoMedical: M.D. author of new AAP clinical report on kids & #socialmedia offers tips for parents http://ow.ly/4roK2 #parenting,,1
RT @parenting: #Recall alert: Toxic Waste Short Circuits Bubble Gum recalled due to lead http://bit.ly/gfRWWy,1,
"RT @inspiringmoms: Don’t Criticize And Bully Other Moms, Help Them! http://ow.ly/4msfT #moms #parenting",,1
RT @webmd: Ecstasy use and ER visits on the rise for young adults. http://bit.ly/g4gxXe,,
RT @DailyFitnessTip Take advantage of the daylight! - > http://ow.ly/4iJru #health #fitness,,1
RT @60secondparent Mercury in fish - which fish are safest? http://bit.ly/97nUS5 #parenting #nutrition,,
RT @BabyShrink Toddlers who grind their teeth: Normal? My answer: http://bit.ly/idopwc #parenting,,
RT @SeattleMamaDoc Do not take Potassium Iodide now. DON'T GIVE IT TO YOUR KIDS! http://bit.ly/dVxWm0 #parenting #radiation,1,
"RT @parenting: The 10 most common vaccine myths, busted: http://bit.ly/gr9Fhm",,
Skippy Peanut Butter #Recall: Salmonella Risk -> http://ow.ly/49EGX (via @WebMD),1,
RT @micheleborba: Raising HONEST kids! Student Cheating Epidemic-Shocking stats on youth's character http://bit.ly/g9jYyo #parenting,,1
RT @60secondparent Manhattan Group Recalls Parents Wooden Activity Toys Due to Choking Hazard http://bit.ly/hg5Zkk #parenting #recall,1,
RT @ChickfilA #FreeFryDay! Come in & ask for Heinz @dipandsqueeze Ketchup between 2-4pm on 3/4 for a FREE medium order of waffle fries!,,1
RT @parenting: #Recall Alert: Broccoli recall – especially important for #pregnant women to read. http://bit.ly/eZp49a,1,
"RT @DailyFitnessTip 20 Ways to Enjoy More Fruits, Vegetables, Whole Grains and Dairy -> http://ow.ly/40xWC (via @EatRight)",,1
"RT @SueScheff 10 common #scams every job seeker should know, even teenagers http://exm.nr/e2DTRE #parenting",1,
RT @mommypoppins #Baby Gym: Activities You Can Do With Infants at Home http://bit.ly/hvUBZJ,,1
Toyota to Recall More Than 2M Vehicles to Address Gas Pedal Problems -> http://ow.ly/42Mxk (@foxnews),1,
RT @NewMoonGirls Obsessed with Her Looks-Guest Blog http://ar.gy/9tX,,1
"RT @parenting #Recall Alert: 360,000 BOB Jogging Strollers Recalled http://bit.ly/iazek1",1,
RT @parentsmagazine Question of the day: What can I do if my children pick on each other? Find the answer here: http://ow.ly/41jhi,,1
RT @parenting: #Recall Alert: IKEA Announces Crib Recall http://bit.ly/grj6iu Check your cribs!,1,
"Product Pick of the Week: ""The Family Coach Method: Raising Good, Kind, Ethical Kids 3 to 8"" by @DrLynneKenney -> http://ow.ly/3YDZi",,1
Pediatrics Report Details Risks from Energy Drinks -> http://ow.ly/3WpjH (@FoxNews),1,
RT @DailyFitnessTip Quiz: Test Your Nutrition IQ -> http://ow.ly/3Wogz (@WebMD),,1
"RT @parenting #Recall Alert: 800,000 car seats recalled. Please check your model and RT to share. Details at http://bit.ly/gZoGce",1,
RT @SueScheff Teen girls arrested for text messages threatening to kill students http://exm.nr/eChz65 #parenting #schools #socialmedia,,1
RT @parenting #Recall Alert: Nearly 2 Million Video Baby Monitors Recalled: http://bit.ly/hCP2Ra Please RT to share.,1,
@DrRobyn discusses why #children & #teens need outside role models & how we can help find the right one. -> http://bit.ly/fAmqog,,
RT @parenting: Children’s Zyrtec: Not Recalled but Pulled Off Shelves Until 2012 http://bit.ly/dI3vKb,,
"RT @parenting: Hmm, a portable potty that you can carry like a briefcase. A little brilliant. A little gross. http://bit.ly/hZP7SI",,1
Dangers of Over-Praising Kids -> http://ow.ly/j1G8v  (via @MicheleBorba),,
RT @MarkMerrill Here are 8 Mistakes I’ve Made in Marriage: http://bit.ly/VL7tS0  #marriage #relationships,,1
Chicken Tortilla Soup Slow Cooker Recipe -> http://ow.ly/j1HeG  (via @cookingmom),,1
Teaching Teens to Be Money Savvy -> http://ow.ly/j1GGG  (via @ThrivingFamily),,1
SMILE: Naptime Gynmastics Video -> http://www.goodcleanhumor.net/video-naptime-gynmastics/ … (via @GoodCleanHumor),,1
#CharityTuesday: Help orphans in poor and developing countries with Compassion International (@Compassion) -> http://ow.ly/j1Fzf ,,1
Helping Kids Learn to Share -> http://ow.ly/j1FSa  (via @MicheleBorba),,1
"RT @AllProDad If you feel that there never seems to be enough time in the day, here are 10 ways to make more time... http://bit.ly/Wv8bDq ",,1
RT @iMOMTweets Life Lessons from @DuckDynastyAE: The importance of second chances #DuckDynasty #DuckNation http://bit.ly/llfd ,,1
@FocusParenting Marriage counseling is a way to deepen your friendship with your spouse. Here are some other simple...http://buff.ly/10BO6iP ,,1
#CharityTuesday: Help orphans in poor and developing countries with Compassion International (@Compassion) -> http://ow.ly/i9IHb ,,1
CHARACTER: Special Needs Student Scores Final Basket After Opposing Team Gives Up Ball -> http://ow.ly/ibPeJ  (via @FoxNewsInsider),,1
RT @iMOMTweets Life Lessons from @DuckDynastyAE: The family that prays together...#DuckDynasty #DuckNation http://bit.ly/llfd ,,1
RT @micheleborba The Whining Cure: How to break that annoying #kid behavior> http://ow.ly/i9FmG ,,1
"RT @iMOMTweets We admit it. We’re fascinated with @DuckDynastyAE, too! Here are 5 life lessons that we can learn... http://bit.ly/VrrWeN ",,1
#CharityTuesday You were made to make more than a living. You were made to make a difference. http://cintl.us/1do  via @AnnVoskamp,,1
"RT @micheleborba The way we talk to children becomes their inner voice.Based on what heard today,what self-belief has your kid acquired?",,1
"RT @FocusParenting “The most important thing a father can do for his children is to love their mother,” Reverend Theodore Hesburgh",,1
10 Strategies to Help Solve Your Marriage Problems -> http://ow.ly/hMms1  (via @AllProDad),,
"RT @SueScheff Snooping on your #kids & #teens #online? Yes, when #safety trumps #privacy. Quick tips for #parents. http://fb.me/X5KpkrQu ",,
RT _@micheleborba Kids are like sponges-soaking up what they see & hear.They do follow. Be sure your steps lead them in the right direction.,,
#CharityTuesday RT _@compassion What is a child's life worth? A child's life is worth protecting. http://cintl.us/1c9  #humantrafficking,,1
The Top 3 Excuses Kids Make -> http://ow.ly/hMm2x  (via @iMOMTweets) #parenting,,1
SMILE: Puppy Pinwheel -> http://ow.ly/hmEaE  (video),,1
"""Dear Mom On The iPhone,"" - > http://ow.ly/huIRl ",,1
#BREAKING A man was stabbed outside Terminal 8 at JFK Airport. Victim taken to Jamaica Hospital. Suspect fled the scene,,
Eighth case of meningitis reported at Princeton http://7ny.tv/1cbaVv8 ,1,
#BREAKING 14 yr old girl was shot in the leg at Sutter Ave and Euclid Ave in the East Section of Brooklyn. She is in serious condition,,
Watch First @ 4 LIVE http://7ny.tv/15ZI75I ,,1
Angelcare baby monitors recalled after 2 infant deaths http://7ny.tv/1dnPoVb ,1,
#RecallAlert Angelcare baby monitors recalled after 2 infant deaths; Get details: http://7ny.tv/18VAZrR  #ABC7WakeUp,1,
New York not on McDonald's list for regional #McRib availability. Devastated? http://7ny.tv/1elUpL0 ,,1
NYPD asks bars to not serve 'SantaCon' participants http://7ny.tv/1c9gZ7y ,,1
HEALTH ALERT: A case of meningitis has been reported at Monmouth University http://7ny.tv/1foMSxT ,1,
My dog ate my homework.. Colorado teen gets A after dog eats science project! http://7ny.tv/1ba4And ,,1
Job-placement companies accused of preying on people desperate for work. @SarahWallaceTV investigates. See #TheInvestigators at 5!,1,
21 photos from the #CatchingFire premiere in New York City http://7ny.tv/1e0Ycwj ,,1
Hunts Point Market fire reaches 4 alarms http://7ny.tv/1bR4UWr  #NewYorkNews,1,
Watch First @ 4 with @LizCho7 & @DavidNovarro7 NOW! http://7ny.tv/15ZI75I ,,1
Students at New Rochelle High School sent home for the day. Possible threat investigated. http://7ny.tv/1dhMNvM ,,
Update: Hunts Point Market fire reaches 4 alarms http://7ny.tv/1cGEIMa ,1,
Alex Rodriguez walks out of grievance hearing http://7ny.tv/1bR8qQm ,,1
Firefighters battle blaze at Hunts Point Market http://7ny.tv/1cGEIMa ,1,
Hunts Point Market fire reaches 3 alarms http://7ny.tv/1bR4UWr ,1,
Read More: #Arod walks out of grievance hearing http://7ny.tv/1ficbBO ,,1
#BreakingNews #Arod walks out of own grievance hearing and says he's done participating,,1
Runaway student found safe in Manhattan http://7ny.tv/1bQUSo5 ,,1
Police officers searching for Park Slope groper assaulted by man fitting description http://7ny.tv/1aQTtJN  #ABC7WakeUp,,
What a HUGE mess on the Gowanus Expressway. A big wreck in the HOV lane. Follow @heatherorourke7 for updates. #breakingnews,,1
Sketch released of Brooklyn sex assault suspect http://7ny.tv/18OoTAw  #NewYorkNews,,
#breakingnews Police just announced the arrest of a man accused of raping a woman in central park. Omar Hoist was arrested Tuesday.,,1
RT Help NJ Police find Welder Morente Dubon after allegedly beating a man to death #MostWanted http://7ny.tv/IfauXf  pic.twitter.com/tib67u6BPD,,
Good Samaritans save people in wheelchairs from Bronx fire http://7ny.tv/17JIkdN ,,1
Toxic dolls from China seized by U.S. Customs http://7ny.tv/1bNYUxx ,,
Emotional plea from murdered man’s family to find the #MostWanted suspect. @SarahWallaceTV has the story at 5! http://7ny.tv/1bYbmJn ,,
#BreakingNews Second alarm brush fire burning in the Tottenville section of Staten Island,,
VIEW MUG SHOTS: NJ State Police's most wanted. @sarahwallacetv with more tonight at 5:30 http://7ny.tv/1bYbmJn  #MostWanted,,
"JP Morgan Chase, government agree on $13 billion settlement http://bit.ly/1bY8U5r ",,1
#Selfie declared word of the year. Send us yours and they could appear on Eyewitness News #ABC7Selfie http://7ny.tv/16xYiHG ,,1
Suspect sought in point-blank shooting in the Bronx that was caught on video http://7ny.tv/1hUnjqh  #ABC7WakeUp,,
"'Spider-Man: Turn off the Dark' to close on Broadway in January, move to Las Vegas http://7ny.tv/1ap132b ",,1
Washington Heights 4-alarm fire burning through apartment building http://7ny.tv/1f8yJVF  #NewYorkNews,1,
Read More: 3 alarm fire in Washington Heights http://7ny.tv/1ioqBzV ,1,
#BreakingNews: 3 alarm fire burning in business on St Nicholas Avenue and 174th street in Washington Heights #fire,1,
Chaos after cops pull over van full of kids http://abcn.ws/1f7TbWv ,,
#FlipFlopRelief and other ways you can help victims of the Philippines typhoon with Nina Pineda and @7OnYourSideNY http://7ny.tv/17DRcRW ,,1
Princeton considers meningitis vaccine after outbreak http://7ny.tv/1aMYtPs ,,
Central Park rape suspect caught on surveillance video http://7ny.tv/17BI803 ,,
Toronto City Council to strip Mayor Rob Ford of remaining powers http://bit.ly/1dNh7e9 ,,1
Suspect sought in Central Park rape caught on surveillance video http://7ny.tv/1jg1wot ,,
New York area hit with wild weather early Monday http://7ny.tv/1bIwjd2 ,,
"New video of an accused rapist, who attacked a woman yesterday in CEntral Park. @AJohnsonwabc7 shows you the clues police have. #ABC7WakeUp",,
Be sure to follow @Evansweather for the latest on this morning's strong storms. #ABC7WakeUp,,1
A busy morning on #eyewitnessnews. Watch here live to see how the rain is playing a role in your morning. http://abclocal.go.com/wabc/index ,,
Family former Rutgers player demands outside investigation after alleged bullying http://7ny.tv/18HOuey ,,1
Strong storms will be hitting the area overnight - be prepared with the AccuTrack Weather Alert App! http://bit.ly/13fiob6 ,,
Rangers lose 1-0 to Kings http://7ny.tv/17CaHuc ,,1
NYPD searching for rapist who attacked woman in Central Park http://7ny.tv/17BI803  #NewYorkNews,1,
Local churches raise money for Philippines typhoon victims http://7ny.tv/1f51VN8 ,,1
Midwest under high storm threat; tornado hits Illinois http://7ny.tv/1dJmHhp ,1,
Track severe weather wherever it strikes w/ the AccuTrack Weather Alert app. This is the view in Chicago. pic.twitter.com/hwwHHISAoJ,,1
"Boeing plane crashes in Russia, 50 believed killed http://7ny.tv/1d7OcoP ",,
Up Close: Minimum Wage http://7ny.tv/1bFZwoU  @DianaWilliamsNY,,1
"#BREAKING There is 3-alarm fire burning on the top floor & through the roof of a 2 story apartment building in Elizabeth, New Jersey",1,
#BREAKING Bronx shooting leaves two injured; Suspect remains at large. We have a crew on the way to the scene http://7ny.tv/1jabFD3 ,1,
Female boxer enters ring to fight for dogs http://7ny.tv/1d371cC ,,1
Dolphin found dead in Coney Island creek http://7ny.tv/1bHgOA4  #NewYorkNews,,
Firefighters continue to battle stubborn brush fire burning in Rockland County http://7ny.tv/HUsdUi  #ABC7WakeUp,1,
BatKid to play hero for a day in San Francisco http://7ny.tv/1bK4e3b ,,1
Reminder to move your car - alternate side parking rules are in effect today @heatherorourke7 says. #ABC7WakeUp,,
Put that coat away for a few days @Evansweather says - the exclusive AccuWeather forecast all morning! #ABC7WakeUp,,1
Firefighters battling brush fire in Rockland County http://7ny.tv/1a9rnx8 ,1,
BREAKING NEWS: Firefighters battling brush fire in Rockland county http://bit.ly/1brovZq  #BreakingNews,1,
"Staten Island woman accused of scamming Medicaid, living in mansion http://7ny.tv/1cZiEkS  #NewYorkNews",,
"#BREAKING A brush fire that is burning in Orangeburg, Rockland County. Newscopter7 is at the scene",1,
Coming up at 5: @kemrichardson7 has first interview with biker in road rage incident. Preview now: http://bit.ly/1ctif5n ,,
"UPDATE: Only 1 passenger was on the bus and the injuries are NOT serious, according to the Tenafly Mayor",,1
"Sketch released of suspect wanted in violent Bronx elevator mugging, robbery http://7ny.tv/1j6Lqxw  #ABC7WakeUp",,
Woman's head bashed against sidewalk during Williamsburg rape attempt; Suspect caught on camera http://7ny.tv/1j6GubO ,,
"NJ man abducted, beaten; wife tied up during frightening home invasion http://7ny.tv/1dt5RTQ  #ABC7WakeUp",,
Philly-to-MacArthur passengers revolt over treatment of blind man http://7ny.tv/1bG8joY ,,1
Alternate side parking rules are in effect @heatherorourke7 says - so bundle up when you move your car! #ABC7WakeUp,,1
"Local passengers come together to help a blind man, after an issue on a flight to Long Island. @LColagrossi7 reports live. #ABC7WakeUp",,1
"#BREAKINGNEWS A 4-alarm fire is burning through at least two buildings on Broadway in Passaic, NJ http://7ny.tv/HNJsGx ",1,
"If you could ask @BillRitter7 any question, what would it be? Use the hashtag #AskBill and he may answer them TONIGHT at 10!",,1
Photos of New York's most wanted provided by @NYPD and U.S. Marshals. #MostWanted http://7ny.tv/1fBtriS ,,
"WEATHER: The low will be around 32, but lower or middle 20s in most outlying areas. http://7ny.tv/19tyHor ",,1
"DEVELOPING: School officials say 3 students were shot outside a Pittsburgh high school, and police are searching for a gunman.",1,
RT to help find an autistic boy's missing service dog named Echo #FindEcho http://7ny.tv/17QHYaT  pic.twitter.com/2GEbJIrauN,,1
#BreakingNews Minor injuries suffered at Ozone Park school after aerosol can apparently explodes on radiator http://7ny.tv/1cofVfM ,,1
Possible sighting for an autistic boy's missing service dog reported in New Rochelle this morning. http://7ny.tv/17QHYaT  #FindEcho,,1
4-alarm fire burns through Queens apartment building http://7ny.tv/1a2KZ6g  #NewYorkNews,1,
Devils beat Rangers 3-2 http://7ny.tv/1a325AZ ,,1
4-alarm fire raging at Queens apartment building http://7ny.tv/1a2KZ6g ,1,
#UPDATE The fire is burning from the 3rd through 6th floors and into the cockloft. Still no injuries reported.,1,
"A mayday was issued for a firefighter who briefly went missing, but he is OK. PC: Diana Nieves http://7ny.tv/1e2l92N  pic.twitter.com/sVpEoE6IUT",,1
#BREAKING Firefighters are battling a four alarm fire in an apartment building in Kew Gardens Queens,1,
FBI Asks Public to Help Identify Child Predator http://abcn.ws/1cSZJZ5 ,1,
Wendi McLendon-Covey talks big hair on @TheGoldbergsABC http://7ny.tv/1i7FVAV ,,1
Dead baby found at Elmsford recycling center http://7ny.tv/1a2xIdN ,,1
"Tonight, we should have a relatively clear sky, most air temperatures will wind up in the 20s in many outlying areas http://7ny.tv/19tyHor ",,1
Nina Pineda has a warning about car warranties. @7OnYourSideNY has the story! #WarrantyWarning http://7ny.tv/1cSG7UI ,,
"Hey #EyewitnessNews viewers, thank you so much for all of the beautiful sunset pictures! They look great :)",,1
New guidelines urge more Americans to take cholesterol lowering statin drugs http://7ny.tv/1cSruRw ,,
Alec Baldwin testifying against alleged stalker in New York City http://7ny.tv/1cSj1O4 ,,1
Upper East Side school on lockdown; Reported gun found in bathroom http://7ny.tv/1dmrEfS ,1,
Update: Lockdown lifted after student found with BB Gun in Upper East Side school,,1
Read More: Gun found in bathroom of Upper East Side school http://7ny.tv/HLaNsQ ,,
#BreakingNews Life Sciences Secondary School on Upper East Side on lockdown,1,
"Alec Baldwin's wife, Hilaria, now on stand. Follow @staceysager7 tweets from the trial of his accused stalker.",,1
"Friends, family gather in Queens for Flight 587 crash anniversary http://7ny.tv/1ck7SRi ",,1
"Before you get your next car repair, check out a #WarrantyWarning from @7OnYourSideNY at 5! http://7ny.tv/HUXYvC ",,
"Friends, family gather in Queens for Flight 587 anniversary http://7ny.tv/17RF7yf  Crash photos: http://7ny.tv/17skSa0 ",,1
"Sketch, video released of suspect in Little Italy home invasion rape http://7ny.tv/1gDseKS  #ABC7WakeUp",,
First #snowflakes fall as arctic air blasts northeast http://7ny.tv/HKAoSL  #ABC7WakeUp,,
New video as police try to solve a rape in Little Italy. @LColagrossi7 will show it to you all morning on #eyewitnessnews #ABC7WakeUp,,
#eyewitnessnews this AM is on the air with details on a bitter blast. Watch live ---> http://abclocal.go.com/wabc/live ,,
4 Penn Station restaurants shut for health violations http://7ny.tv/1chmG34 ,,
YUCK! 4 Penn Station restaurants shut for health violations. http://7ny.tv/19YBiWh ,1,
The NYPD made a dramatic rescue of a suicidal man on the Verrazano Bridge Monday morning http://7ny.tv/19f5uIn ,,1
RT if you're watching @DancingABC #DWTS,,1
Meningitis outbreak at Princeton University; at least 7 sick http://7ny.tv/19f1NCx ,1,
Kidnapped Mom Knew Family Would Save Her http://abcn.ws/1bpLZSm ,,1
Short Hills Mall shooting: Funeral arrangements announced: A funeral is scheduled for a New Jersey man who was... http://bit.ly/JwZ563 ,,1
"Yankees, Brian Roberts agree to deal: Free-agent second baseman Brian Roberts has reached an agreement on a on... http://bit.ly/JwZ55V ",,1
New Jersey man imprisoned 19 years for murder to be exonerated: A judge in New Jersey on Tuesday is expected t... http://bit.ly/1fBnUsG ,,1
"Connecticut student due back in court on gun charges: William Dong has been held on $500,000 bail since being ... http://bit.ly/1jeAbrZ ",,1
"Manhattan would-be bank robber caught on camera: Police are looking for a would-be bank robber in Manhattan, a... http://bit.ly/1dJCEnr ",,
New York mock trial for 'The Night Before Christmas': It's a controversy whose roots trace back nearly two cen... http://bit.ly/1kcjdbH ,,1
"Connecticut residents stab, subdue home invaders: Authorities say a resident of the home subdued one suspect a... http://bit.ly/1kcjbAB ",,1
Georgia high school student gets year-long suspension for hugging teacher: Did that hug warrant a year-long su... http://bit.ly/1bVFWW5 ,,
"Country singer Ray Price dies at 87: Ray Price, a towering traditional country singer who was one of the last ... http://bit.ly/1kaaG9r ",,1
"Power outage hits Cliffside Park and North Bergen: A power outage has left nearly 11,000 customers in the dark... http://bit.ly/JAyAwZ ",,
"Amber alert issued for 1-year old boy from Passaic: Authorities say the boy's non-custodial father, Tomas A. Q... http://bit.ly/1dHv7Wd ",,
Box truck lands on top of minivan on Route 80 in Saddle Brook: A collision between a minivan and a box truck o... http://bit.ly/1fzk975 ,,
Woman injured when ice falls from truck on Route 80: A woman was hurt Monday when ice fell from a box truck on... http://bit.ly/1kPGQo1 ,,
Baruch fraternity involved in hazing death shut down: The national organization of Pi Delta Psi announced it h... http://bit.ly/JsOTv8 ,,1
Snow alert for Tuesday in New York City: Here we go again! The New York City Department of Sanitation has iss... http://bit.ly/JsOQzJ ,,
"Metro-North derailment sparks rules review, while engineers speak out: Federal regulators are ordering railroa... http://bit.ly/1jPeqgo ",,
Baruch College student dies in apparent fraternity ritual in Pennsylvania: Police are investigating the death ... http://bit.ly/J7f5LN ,,
Thieves target luxury cars in New York area: Thieves in Queens and the Bronx are believed responsible for the ... http://bit.ly/1jOD9RM ,1,
De Blasio says family will live in Gracie Mansion: New York City Mayor-elect Bill de Blasio has announced that... http://bit.ly/J6l7Mw ,,1
Mega Millions jackpot grows to $400 Million: The Mega Millions jackpot has grown to its second highest amount ... http://bit.ly/J6l6bs ,,1
Police identify suspect in theft of 1-year old's earrings at day care: Police say 21-year old Desire Santiago ... http://bit.ly/1iWJwVo ,,1
Long Island pet store thief wanted for stealing puppy: Police say the man stole an 8-week old white/cream colo... http://bit.ly/1fjXKuq ,,
FDA pushes to get antibiotics out of meat: The agency announced Tuesday that it will ask pharmaceutical compan... http://bit.ly/1iWJwVg ,,
Interpreter at Mandela ceremony called a 'fake': A man who appeared to provide sign language interpretation on... http://bit.ly/1iWJzAu ,,1
Pope Francis chosen Time's Person of the Year: Time magazine selected Pope Francis as its Person of the Year o... http://bit.ly/1jNuD5L ,,1
Infant brought to NYU Langone by parents pronounced dead: Police are investigating the death of a 4-month old ... http://bit.ly/1jNuEq8 ,,1
"World leaders bow, pray at Nelson Mandela's casket: World leaders bowed and prayed Wednesday before the flag-d... http://bit.ly/1bDfi41 ",,1
Spring Valley police to announce arrest in Baby Angel case: Nearly a month after a newborn was left for dead i... http://bit.ly/1bDfiB9 ,,1
Yonkers fire injures family of four: The family was forced to jump out of a second floor window as an early mo... http://bit.ly/J52xVd ,,1
Avonte's mother continues search with new headquarters: Avonte Oquendo's mother has opened a new search headqu... http://bit.ly/1doeLln ,,1
Fire inside the Marriott Marquis in Times Square: There was a scare for tourists in Times Square after a fire ... http://bit.ly/1bC2ElR ,,
"Enter GMA's 'Insta-GLAM' holiday contest!: ""Good Morning America"" wants to ""Insta-GLAM"" your space for the holidays! http://bit.ly/1bC2F9r ",,1
Man struck and killed by car on LIE: The Long Island Expressway was closed in Farmingville as police investiga... http://bit.ly/1bC2F9m ,,
Remains found in Rockland County Park may be suspected killer: Remains found in a Rockland County Park may bel... http://bit.ly/1bzCKke ,,1
"Paul Walker dies in car accident in California: ABC News has confirmed that ""Fast and Furious"" star Paul Walke... http://bit.ly/1jWi1X5 ",,1
"Kreider hat trick fuels Rangers win against Tortorella's Canucks: Chris Kreider scored three goals, and Rick N... http://bit.ly/1byMECL ",,1
Traffic agent struck and killed by truck in Manhattan: An NYPD Traffic Enforcement Agent was struck and killed... http://bit.ly/1byFbn6 ,,
Rikers Island brawl injures guards and inmates: Four New York City jail guards and several inmates have been i... http://bit.ly/1b4mJRG ,,
Howard Beach accident leaves 1 dead; 1 arrested: A Queens man is under arrest after police say he was driving ... http://bit.ly/1cHhUwb ,,1
New Jersey canine crowned world's ugliest dog in 2007 dies: A New Jersey canine that was crowned the world's u... http://bit.ly/1cHhUw9 ,,1
Montclair man accused of pulling machete after left out on Thanksgiving: Authorities say a northern New Jersey... http://bit.ly/Iuoeh2 ,,
Fifth-graders team up to stop bullying of classmate: It's an important lesson in brotherhood: a group of fifth... http://bit.ly/1b4087U ,,1
New Jersey woman charged with having stun gun in dispute over shopping cart: A New Jersey woman is under arres... http://bit.ly/1bxZQru ,,1
"Black Friday reports: stores packed, online sales up: Millions of Americans turned out as the holiday buying s... http://bit.ly/1bxZQb5 ",,1
"Small Business Saturday held to help independent stores: With Black Friday over, it is a day set aside to brin... http://bit.ly/1bxDma8 ",,1
Man charged in 2011 murder of Islip teenager: A former high school classmate of a New York teenager found dead... http://bit.ly/1bxDjuQ ,,1
Fire breaks out on Manhattan's Restaurant Row: Flames broke out inside the kitchen of Barbetta Restaurant at 3... http://bit.ly/1bxDjew ,1,
Grosse Pointe Woods police release pictures of purse snatcher #Local4 http://bit.ly/1bj3djx  pic.twitter.com/CdHGRwgmP0,,
Pine tree becomes victim of University of Michigan fraternity prank #Local4 http://bit.ly/1dSzdzl ,,1
Health officials report increase in stomach illness over past week in Michigan #Local4 http://bit.ly/1jkEjV1 ,1,
Will Ferrell says former WDIV anchor Mort Crim inspired 'Anchorman' #Local4 http://bit.ly/1iA0Z5C ,,1
"2M Facebook, Gmail, Twitter passwords stolen in massive hack #Local4 http://bit.ly/1hyx9Nx ",,
Snapchat ads closer to reality #Local4 http://bit.ly/1cblzAt ,,1
Sterling Heights police: Women robbers striking stores #Local4 http://bit.ly/1hyk9rn ,,
Obama pushes for minimum wage hike in economy remarks #Local4 http://bit.ly/1bgoNVO ,,1
Health officials report increase in stomach illness over past week in Michigan: http://bit.ly/1jkEjV1  #Local4,,
"Traverse City Mayor Michael Estes sentenced to probation, fined for driving while impaired: http://bit.ly/1eOLocN  #Local4",,1
Suspected serial bank robber on the loose in metro Detroit #Local4 http://bit.ly/1k6fmtU ,,
Rowdy Seattle fans register as earthquake #Local4 http://bit.ly/1aumhrx ,,
Pets as presents: What to consider first #Local4 http://bit.ly/1c7EwEk ,,
Experts expect judge to rule Detroit is bankruptcy eligible #DetroitBankrupt http://bit.ly/1arBmu3  @RodMeloni,,1
Beware: Holiday-season charity scams #Local4 http://bit.ly/1arEO7R ,1,
Experts expect judge to rule Detroit is bankruptcy eligible #DetroitBankrupt http://bit.ly/1arBmu3  @RodMeloni,,
Will seeing red help you lose weight? Study says red causes people to cut back! STUDY: http://bit.ly/Iwdr5T  pic.twitter.com/6m6FH4iWYx,,1
Dyle TV broadcasts local live television to your mobile device #Local4 http://bit.ly/1eESvYC  pic.twitter.com/3FiZBQQYwW,,1
Holiday foods to keep away from pets #Local4 http://bit.ly/1iUeY40  pic.twitter.com/NcDKNvcA6S,,
Sony is taking wearable technology to a whole new level. #Local4 http://bit.ly/Iq2lAh  pic.twitter.com/VwnUbt406i,,1
Tips for keeping kids safe on social media #Local4 http://bit.ly/1iTFRFg ,,
America's oldest book sells for record $14.2M #Local4 http://bit.ly/1aYOtWW ,,1
"Some snow squalls, cold temps in store - @Local4Brandon's forecast: http://bit.ly/1bnGzsW ",,
Michigan man who had gun at theater back in court #Local4 http://bit.ly/1a45rzv ,,1
Tips for braving stormy Thanksgiving travel #Local4 http://bit.ly/IrgL1T ,,
Win 4 tickets to see @onedirection next summer! DESKTOP: http://on.fb.me/1dyomuk  MOBILE: http://bit.ly/18lGBkJ  #1D,,1
University of Michigan Police issue crime alert #Local4 http://bit.ly/18EV60U ,1,
Suspect bound over for trial in 5-year-old girl's death #Local4 http://bit.ly/Ir136V ,,1
"Ford to recall Escapes again for oil, fuel leaks #Local4 http://bit.ly/1aVGBW5 ",1,
LIVE: Detroit small businesses get more loans http://bit.ly/194fvZK ,,1
Morning-after pill and overweight women #Local4 http://bit.ly/1fFLKpJ ,,
"Snyder, Bing, Goldman Sachs to announce 10k small businesses initiative #Local4 http://bit.ly/1bkFUs0 ",,1
Cold and snowflakes today. Bundle up...Again! Tuesday's forecast: http://bit.ly/1aV2PYi  #Local4Today pic.twitter.com/VfFwjUTfCC,,
"Where do you plan to travel for the Thanksgiving Holiday? Plane, train, or automobile? #Local4Today pic.twitter.com/jMDbAmyhAe",,1
ALERT: Berkley elementary school evacuated due to gas leak #Local4 http://bit.ly/17UpeXu ,1,
Nasty storm spreads just before Thanksgiving #Local4 http://bit.ly/1ekNReS ,,
